team,coach_2026,coach_2025,new_hc
ARI,Jonathan Gannon,Jonathan Gannon,False
ATL,Raheem Morris,Raheem Morris,False
BAL,Jesse Minter,John Harbaugh,True
BUF,Sean McDermott,Sean McDermott,False
CAR,Dave Canales,Dave Canales,False
CHI,Ben Johnson,Ben Johnson,False
CIN,Zac Taylor,Zac Taylor,False
CLE,Todd Monken,Kevin Stefanski,True
DAL,Brian Schottenheimer,Brian Schottenheimer,False
DEN,Sean Payton,Sean Payton,False
DET,Dan Campbell,Dan Campbell,False
GB,Matt LaFleur,Matt LaFleur,False
HOU,DeMeco Ryans,DeMeco Ryans,False
IND,Shane Steichen,Shane Steichen,False
JAX,Liam Coen,Liam Coen,False
KC,Andy Reid,Andy Reid,False
LAR,Sean McVay,Sean McVay,False
LAC,Jim Harbaugh,Jim Harbaugh,False
LV,Klint Kubliak,Pete Carroll,True
MIA,Jeff Hafley,Mike McDaniel,True
MIN,Kevin O'Connell,Kevin O'Connell,False
NE,Mike Vrabel,Mike Vrabel,False
NO,Kellen Moore,Kellen Moore,False
NYG,John Harbaugh,Brian Daboll,True
NYJ,Aaron Glenn,Aaron Glenn,False
PHI,Nick Sirianni,Nick Sirianni,False
PIT,Mike McCarthy,Mike Tomlin,True
SEA,Mike Macdonald,Mike Macdonald,False
SF,Kyle Shanahan,Kyle Shanahan,False
TB,Todd Bowles,Todd Bowles,False
TEN,Robert Saleh,Brian Callahan,True
WAS,Dan Quinn,Dan Quinn,False
